SenKatieBritt,@SenTuberville,@SenEricSchmitt,@SenatorRicketts,@SenatorBraun,@SenJoniErnst,@SenatorRomney,@SenatorRisch,@SenatorRounds,@SenKevinCramer,@lisamurkowski,@SenatorLankford,@SenLummis,@SenJohnHoeven,@SenHydeSmith,@SenJohnThune,@JohnBoozman,@SenToddYoung,@SenTedBuddNC,@SenMullin,@SenVancePress,@SenRandPaul,@SteveDaines,@JerryMoran,@SenatorFischer,@SenTedCruz,@SenatorTimScott,@SenatorWicker,@SenDanSullivan,@SenCapito,@SenThomTillis,@LeaderMcConnell,@SenatorCollins,@SenJohnBarrasso,@SenTomCotton,@MikeCrapo,@SenRonJohnson,@SenMikeLee,,,
SenTuberville,@MarshaBlackburn,@ChuckGrassley,@HawleyMO,@SenKatieBritt,@SenJohnKennedy,@SenKevinCramer,@SenTomCotton,@SenatorHagerty,@SenatorBraun,@SenRonJohnson,@SenEricSchmitt,@SenTedBuddNC,@SenPeterWelch,@SenAlexPadilla,@SenMullin,,,,,,,,,,,,,,,,,,,,,,,,,
lisamurkowski,@SenatorCollins,@SenSchumer,@SenatorRisch,@MikeCrapo,@SenJohnHoeven,@SenWhitehouse,@JerryMoran,@SenGillibrand,@SenBlumenthal,@JohnCornyn,@ChuckGrassley,@SenJohnBarrasso,@SenThomTillis,@SenPeterWelch,@SenVancePress,@SenMullin,@SenEricSchmitt,@SenKatieBritt,@RogerMarshallMD,@SenatorBraun,@SenLummis,@MarshaBlackburn,@SenatorHagerty,@SenJackyRosen,@SenCortezMasto,@SenatorLujan,@SenKevinCramer,@SenHydeSmith,@SenTinaSmith,@SenJohnKennedy,@SenRandPaul,@SenDuckworth,@SenRickScott,@SenatorHick,@SenAlexPadilla,@SenatorSinema,@SenMarkKelly,@SenTuberville,,
SenDanSullivan,@SenatorRisch,@MikeCrapo,@SenThomTillis,@JerryMoran,@SenJohnHoeven,@SenatorLankford,@SenJohnBarrasso,@SenKevinCramer,@SenJoniErnst,@SenatorWicker,@SenatorFischer,@lisamurkowski,@JohnBoozman,@SenCapito,@SenJohnThune,@SenatorRounds,@SenatorCollins,@SenJohnKennedy,@SenTuberville,@SenLummis,@SenatorHagerty,@SenatorSinema,,,,,,,,,,,,,,,,,,
SenMarkKelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorSinema,@SenKevinCramer,@SenatorTester,@SenBlumenthal,@SenGaryPeters,@SenJackyRosen,@SenMarkKelly,@maziehirono,@SenatorCollins,@SenJackReed,@SenJoniErnst,@SenKatieBritt,@RogerMarshallMD,@SenTedBuddNC,@SenCortezMasto,@SenJohnKennedy,,,,,,,,,,,,,,,,,,,,,,,,,
JohnBoozman,@JerryMoran,@SenatorRisch,@MikeCrapo,@SenJohnBarrasso,@SenJohnHoeven,@SenatorWicker,@SenatorFischer,@SenThomTillis,@SenKevinCramer,@lisamurkowski,@JohnCornyn,@SenJohnThune,@SenCapito,@SenatorLankford,@SenatorCollins,@SenatorRicketts,@SenTedBuddNC,@SenMullin,@SenVancePress,@SenEricSchmitt,@SenKatieBritt,@SenMikeLee,@SenLummis,,,,,,,,,,,,,,,,,
SenTomCotton,@MarshaBlackburn,@SenTedCruz,@SenJohnKennedy,@ChuckGrassley,@SenatorTimScott,@SenRonJohnson,@SenKevinCramer,@SenMikeLee,@SenatorBraun,@MikeCrapo,@SenTuberville,@SenatorRomney,@SenatorRisch,@SenJoniErnst,@SenatorLankford,@SenatorWicker,@lisamurkowski,@SenHydeSmith,@SenToddYoung,@RogerMarshallMD,@SenLummis,@SenatorHagerty,@LeaderMcConnell,@SenatorRounds,@SteveDaines,@SenDanSullivan,,,,,,,,,,,,,,
Senlaphonza,@SenSchumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAlexPadilla,@SenWhitehouse,@SenDuckworth,@SenatorHick,@SenMarkKelly,@maziehirono,@ossoff,@brianschatz,@SenSherrodBrown,@Senlaphonza,@SenatorSinema,@JohnCornyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBennet,@SenBlumenthal,@ChrisMurphyCT,@PattyMurray,@MarkWarner,@SenatorDurbin,@SenWhitehouse,@SenDuckworth,@SenatorTester,@maziehirono,@SenatorHick,@SenSherrodBrown,@SenBobCasey,@ChrisCoons,@SenGaryPeters,@SenatorBaldwin,@SenPeterWelch,@SenatorRomney,@SenMarkKelly,,,,,,,,,,,,,,,,,,,,,,
SenatorHick,@SenatorTester,@SenatorBennet,@SenMarkKelly,@SenGaryPeters,@maziehirono,@SenAlexPadilla,@brianschatz,@SenSherrodBrown,@SenJackyRosen,@SenTinaSmith,@SenatorHassan,@SenFettermanPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenBlumenthal,@ChrisMurphyCT,@SenWhitehouse,@SenatorDurbin,@SenGillibrand,@maziehirono,@MarkWarner,@SenDuckworth,@PattyMurray,@ChrisCoons,@RonWyden,@SenPeterWelch,@SenFettermanPA,@SenAlexPadilla,@SenatorHick,@SenatorLujan,@SenMarkKelly,@SenatorSinema,@SenJackyRosen,@SenAmyKlobuchar,@SenBooker,,,,,,,,,,,,,,,,,,,,
ChrisMurphyCT,@SenBlumenthal,@brianschatz,@SenatorDurbin,@SenJackyRosen,@SenTedCruz,@JohnCornyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCarper,@ChrisCoons,@SenatorCardin,@ChrisVanHollen,@SenBlumenthal,@PattyMurray,@SenWhitehouse,@SenJackReed,@SenatorDurbin,@SenGaryPeters,@SenBobCasey,@maziehirono,@SenatorTester,@MikeCrapo,@SenatorCantwell,@SenatorBaldwin,@SenatorShaheen,@SenJeffMerkley,@SenatorMenendez,@SenAngusKing,@Senlaphonza,@SenPeterWelch,@SenFettermanPA,@SenAmyKlobuchar,,,,,,,,,,,,,,,,,
ChrisCoons,@SenBlumenthal,@SenWhitehouse,@SenatorCarper,@ChrisMurphyCT,@SenatorDurbin,@maziehirono,@MarkWarner,@PattyMurray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcorubio,@SenTedCruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenRickScott,@SenTedCruz,@MarshaBlackburn,@marcorubio,@ChuckGrassley,@SenJohnKennedy,@SenatorTimScott,@SenKevinCramer,@SenTomCotton,@SenMikeLee,@SenatorRomney,@SenEricSchmitt,@SenatorRicketts,@RogerMarshallMD,@SenTuberville,@SenatorBraun,@SenVancePress,@SenKatieBritt,@SenMullin,@SenTedBuddNC,,,,,,,,,,,,,,,,,,,,,
ossoff,@ReverendWarnock,@SenSchumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReverendWarnock,@ossoff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maziehirono,@SenBlumenthal,@ChrisMurphyCT,@SenWhitehouse,@SenDuckworth,@SenGillibrand,@SenatorDurbin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brianschatz,@ChrisMurphyCT,@ossoff,@SenWhitehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MikeCrapo,@SenatorRisch,@SenJohnHoeven,@SenJohnBarrasso,@JerryMoran,@SenatorWicker,@SenatorFischer,@JohnBoozman,@SenThomTillis,@lisamurkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorRisch,@MikeCrapo,@SenJohnHoeven,@SenJohnBarrasso,@JerryMoran,@SenatorWicker,@SenatorFischer,@JohnBoozman,@SenThomTillis,@lisamurkowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenDuckworth,@SenatorDurbin,@ChrisMurphyCT,@SenGillibrand,@SenBlumenthal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorDurbin,@SenSchumer,@SenBlumenthal,@SenDuckworth,@ChrisMurphyCT,@SenWhitehouse,@PattyMurray,@maziehirono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorBraun,@SenToddYoung,@SenKevinCramer,@SenJohnKennedy,@MarshaBlackburn,@SenatorLankford,@SenJoniErnst,@SenThomTillis,@SenMikeLee,@JohnCornyn,@MikeCrapo,@SenJohnBarrasso,@SenatorRicketts,@SenEricSchmitt,@SenKatieBritt,@SenRandPaul,,,,,,,,,,,,,,,,,,,,,,,,,
SenToddYoung,@SenatorBraun,@SenKevinCramer,@SenatorRisch,@MikeCrapo,@SenJohnBarrasso,@SenThomTillis,@SenatorLankford,@JerryMoran,@SenJohnHoeven,@SenCapito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenJoniErnst,@ChuckGrassley,@MarshaBlackburn,@SenJohnKennedy,@SenTomCotton,@JohnCornyn,@SenRonJohnson,@SenKevinCramer,@SenThomTillis,@SenMikeLee,@SenatorRisch,@SenatorLankford,@SenatorRicketts,@SenKatieBritt,@RogerMarshallMD,@SenToddYoung,@SenRickScott,@HawleyMO,@SenatorRomney,@SenHydeSmith,,,,,,,,,,,,,,,,,,,,,
ChuckGrassley,@SenRonJohnson,@SenMikeLee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RogerMarshallMD,@HawleyMO,@SenJohnKennedy,@SenatorBraun,@SenKevinCramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JerryMoran,@SenatorRisch,@MikeCrapo,@SenJohnHoeven,@JohnBoozman,@SenatorWicker,@SenJohnBarrasso,@SenatorFischer,@SenThomTillis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LeaderMcConnell,@SenTedCruz,@ChuckGrassley,@marcorubio,@SenJohnKennedy,@SenatorTimScott,@SenTomCotton,@MarshaBlackburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenRandPaul,@SenEricSchmitt,@SenJohnKennedy,@SenRonJohnson,@SenatorBraun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BillCassidy,@SenCapito,@SenatorTimScott,@SenatorLankford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenJohnKennedy,@HawleyMO,@SenTedCruz,@MarshaBlackburn,@ChuckGrassley,@SenTomCotton,@SenRonJohnson,@SenKevinCramer,@SenatorBraun,@MikeCrapo,@SenatorRomney,@SenVancePress,@RogerMarshallMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCollins,@ChuckGrassley,@lisamurkowski,@SenSchumer,@LeaderMcConnell,@SenBlumenthal,@MikeCrapo,@SenJohnHoeven,@SenGillibrand,@SenMikeLee,@SenatorRisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAngusKing,@SenBlumenthal,@SenWhitehouse,@PattyMurray,@MarkWarner,@SenatorDurbin,@SenatorCollins,@maziehirono,@ChrisMurphyCT,@ChrisCoons,@SenDuckworth,@SenMarkKelly,@ChrisVanHollen,@SenJohnKennedy,@brianschatz,,,,,,,,,,,,,,,,,,,,,,,,,,
SenatorCardin,@ChrisVanHollen,@SenBlumenthal,@SenatorDurbin,@PattyMurray,@SenatorCarper,@ChrisCoons,@MarkWarner,@SenWhitehouse,@SenJackReed,@SenBobCasey,@SenGaryPeters,@SenatorMenendez,@SenatorCantwell,@maziehirono,@ChrisMurphyCT,@SenatorShaheen,@SenJeffMerkley,@SenatorRisch,@Senlaphonza,,,,,,,,,,,,,,,,,,,,,
ChrisVanHollen,@SenatorCardin,@SenBlumenthal,@SenWhitehouse,@MarkWarner,@SenDuckworth,@SenatorDurbin,@PattyMurray,@ChrisMurphyCT,@maziehirono,@SenGaryPeters,@SenatorTester,@ChrisCoons,@SenJackReed,@SenatorCarper,@SenBobCasey,@SenTimKaine,@SenAlexPadilla,@ossoff,,,,,,,,,,,,,,,,,,,,,,
SenMarkey,@ChrisMurphyCT,@SenWhitehouse,@SenBlumenthal,@PattyMurray,@SenDuckworth,@MarkWarner,@maziehirono,@SenatorDurbin,@SenSherrodBrown,@brianschatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenWarren,@SenSanders,@SenSchumer,@SenJackyRosen,@SenTimKaine,@SenFettermanPA,@SenAlexPadilla,@SenatorHick,@SenMarkKelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenGaryPeters,@SenStabenow,@PattyMurray,@SenatorTester,@SenBlumenthal,@SenWhitehouse,@ChrisVanHollen,@SenatorDurbin,@maziehirono,@SenJackReed,@ChrisCoons,@SenatorBaldwin,@SenBobCasey,@SenatorCantwell,@SenatorHassan,@Senlaphonza,@SenFettermanPA,,,,,,,,,,,,,,,,,,,,,,,,
SenStabenow,@SenGaryPeters,@PattyMurray,@SenBlumenthal,@SenWhitehouse,@SenatorTester,@SenatorDurbin,@SenatorBaldwin,@ChrisVanHollen,@maziehirono,@SenSherrodBrown,@ChrisCoons,@SenatorCantwell,@SenPeterWelch,@SenFettermanPA,,,,,,,,,,,,,,,,,,,,,,,,,,
SenAmyKlobuchar,@ChrisMurphyCT,@SenBlumenthal,@SenWhitehouse,@SenBooker,@SenTinaSmith,@SenDuckworth,@SenatorDurbin,@maziehirono,@PattyMurray,@ChrisCoons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenTinaSmith,@SenAmyKlobuchar,@SenWhitehouse,@SenBlumenthal,@SenDuckworth,@SenatorTester,@maziehirono,@SenSherrodBrown,@brianschatz,@ChrisCoons,@SenKevinCramer,@SenBobCasey,@SenatorBaldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenHydeSmith,@SenKevinCramer,@SenatorWicker,@SenatorLankford,@SenJoniErnst,@SenatorBraun,@SenTuberville,@SenatorRisch,@SenJohnKennedy,@SenThomTillis,@JohnCornyn,@SenJohnHoeven,@MikeCrapo,@SenatorFischer,@SenCapito,@JerryMoran,@SenatorTimScott,@SenJohnBarrasso,@SenDanSullivan,@SenatorRicketts,@SenTedBuddNC,@SenKatieBritt,@SenEricSchmitt,@SenMullin,@RogerMarshallMD,@SenatorHagerty,@SenLummis,,,,,,,,,,,,,,
SenatorWicker,@SenatorRisch,@MikeCrapo,@JerryMoran,@SenJohnBarrasso,@SenatorFischer,@SenJohnHoeven,@JohnBoozman,@SenKevinCramer,@SenThomTillis,@SenJohnThune,@SenCapito,@SenatorLankford,@lisamurkowski,@SenJoniErnst,@SenatorCollins,@SenJackReed,@SenVancePress,@SenEricSchmitt,@SenMullin,@SenKatieBritt,@SenTedBuddNC,,,,,,,,,,,,,,,,,,,
HawleyMO,@SenTomCotton,@marcorubio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SenEricSchmitt,@SenatorRicketts,@SenKatieBritt,@SenatorRomney,@SenatorBraun,@SenTuberville,@SenatorLankford,@SenLummis,@lisamurkowski,@SenHydeSmith,@SenatorRounds,@SenJohnThune,@SenJohnBarrasso,@SenToddYoung,@JohnBoozman,@SenJohnHoeven,,,,,,,,,,,,,,,,,,,,,,,,,
SteveDaines,@SenKevinCramer,@SenatorLankford,@SenTomCotton,@SenJoniErnst,@SenatorBraun,@SenJohnHoeven,@SenatorRisch,@SenJohnBarrasso,@MikeCrapo,@SenThomTillis,@SenatorTester,@JohnCornyn,@SenMikeLee,@SenJohnThune,@SenCapito,@JerryMoran,@SenatorWicker,@SenKatieBritt,@SenTuberville,,,,,,,,,,,,,,,,,,,,,
SenatorTester,@ChrisMurphyCT,@PattyMurray,@SenBlumenthal,@SenGaryPeters,@MarkWarner,@maziehirono,@SenDuckworth,@ChrisVanHollen,@ChrisCoons,@SenatorDurbin,@SenSherrodBrown,@SenatorBaldwin,@SenBobCasey,@SenJackReed,@SenAngusKing,@SenAlexPadilla,@SenKevinCramer,@SenPeterWelch,@SenLummis,@SenatorLujan,@SenatorHick,@SenMarkKelly,@marcorubio,@SenCapito,@SenToddYoung,@MarshaBlackburn,@SenBooker,@SenJoniErnst,@SenDanSullivan,,,,,,,,,,,
SenatorFischer,@SenatorRisch,@MikeCrapo,@SenatorWicker,@JerryMoran,@SenJohnHoeven,@SenJohnBarrasso,@JohnBoozman,@SenCapito,@SenThomTillis,@lisamurkowski,@JohnCornyn,@SenJoniErnst,@SenatorCollins,@SenJohnThune,@SenatorLankford,@SenDanSullivan,@SenJackReed,@SenKevinCramer,@SenatorRicketts,@SenatorLujan,@SenLummis,@RogerMarshallMD,@SenatorHagerty,@SenJohnKennedy,@SenTuberville,@SenTinaSmith,,,,,,,,,,,,,,
